time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446339659	7.85596	-5.85025	-2.72967	2.26958	0.384598	lidar	1.58301	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.96965	-5.97708	-2.83442	2.30329	0.410993	radar	8.64206	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.0317	-6.12425	-2.8478	2.2844	0.369576	lidar	1.21638	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.1237	-6.24844	-2.82663	2.29183	0.353041	radar	1.13845	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.20619	-6.38893	-2.83329	2.28756	0.328208	lidar	0.399448	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.28686	-6.50597	-2.79859	2.29009	0.30945	radar	1.20242	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.35035	-6.65972	-2.80503	2.26703	0.267709	lidar	1.07575	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.43763	-6.78021	-2.79677	2.27312	0.258428	radar	0.382578	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.51257	-6.91776	-2.79788	2.26354	0.233818	lidar	0.388114	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.58483	-7.02507	-2.77364	2.26361	0.22007	radar	0.717986	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.63841	-7.16578	-2.77932	2.2386	0.182853	lidar	0.888762	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.74623	-7.29147	-2.86087	2.2598	0.203287	radar	5.42835	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.80497	-7.43993	-2.87218	2.23357	0.165627	lidar	0.954082	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.87034	-7.56116	-2.79411	2.21737	0.131162	radar	5.92332	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.93151	-7.70846	-2.79568	2.19524	0.100931	lidar	0.598733	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	9.00952	-7.82722	-2.80453	2.1966	0.0981945	radar	0.243222	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.0553	-7.97214	-2.80933	2.16656	0.0623002	lidar	0.847613	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.09446	-8.09008	-2.71188	2.13586	0.0159367	radar	7.70697	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.14625	-8.23094	-2.70891	2.11408	-0.00724861	lidar	0.461397	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.22202	-8.35421	-2.73411	2.11711	-0.000541212	radar	0.553404	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.2559	-8.49796	-2.73805	2.0839	-0.0342645	lidar	0.810901	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.29452	-8.62658	-2.66999	2.05114	-0.0767759	radar	4.46085	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.33454	-8.76826	-2.66654	2.02587	-0.0981693	lidar	0.461197	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.47456	-8.90578	-2.84778	2.09714	0.0125335	radar	31.454	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.51397	-9.06166	-2.86341	2.06537	-0.0199586	lidar	0.801941	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.55601	-9.18515	-2.81407	2.04127	-0.0517988	radar	2.54729	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.5985	-9.32479	-2.8181	2.02044	-0.0702122	lidar	0.247127	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.63378	-9.44813	-2.77745	1.99552	-0.0990857	radar	1.7293	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.65212	-9.60032	-2.78583	1.95748	-0.132417	lidar	0.825983	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.71768	-9.7369	-2.81807	1.96268	-0.114165	radar	1.03024	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
